date,global_solar_mj_m2,data_completeness_x,mean_relative_humidity_percent,data_completeness_y,bright_sunshine_hours,data_completeness,solar_source_type,humidity_source_type,sunshine_source_type
2025-06-15,9.7,C,82.0,C,0.8,C,official_open_data,official_open_data,official_open_data
2025-06-16,12.6,C,83.0,C,2.6,C,official_open_data,official_open_data,official_open_data
2025-06-17,4.42,C,90.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-06-18,17.53,C,82.0,C,4.1,C,official_open_data,official_open_data,official_open_data
2025-06-19,17.49,C,85.0,C,4.3,C,official_open_data,official_open_data,official_open_data
2025-06-20,12.57,C,85.0,C,2.3,C,official_open_data,official_open_data,official_open_data
2025-06-21,19.29,C,81.0,C,5.5,C,official_open_data,official_open_data,official_open_data
2025-06-22,16.41,C,82.0,C,5.6,C,official_open_data,official_open_data,official_open_data
2025-06-23,23.32,C,78.0,C,10.3,C,official_open_data,official_open_data,official_open_data
2025-06-24,23.86,C,76.0,C,9.9,C,official_open_data,official_open_data,official_open_data
2025-06-25,28.77,C,75.0,C,12.1,C,official_open_data,official_open_data,official_open_data
2025-06-26,11.27,C,86.0,C,1.7,C,official_open_data,official_open_data,official_open_data
2025-06-27,8.53,C,86.0,C,0.8,C,official_open_data,official_open_data,official_open_data
2025-06-28,13.3,C,85.0,C,2.3,C,official_open_data,official_open_data,official_open_data
2025-06-29,15.07,C,85.0,C,4.1,C,official_open_data,official_open_data,official_open_data
2025-06-30,11.76,C,85.0,C,0.6,C,official_open_data,official_open_data,official_open_data
2025-07-01,11.55,C,88.0,C,2.9,C,official_open_data,official_open_data,official_open_data
2025-07-02,26.58,C,81.0,C,9.0,C,official_open_data,official_open_data,official_open_data
2025-07-03,20.83,C,77.0,C,9.2,C,official_open_data,official_open_data,official_open_data
2025-07-04,26.58,C,72.0,C,11.4,C,official_open_data,official_open_data,official_open_data
2025-07-05,19.27,C,71.0,C,7.3,C,official_open_data,official_open_data,official_open_data
2025-07-06,22.11,C,70.0,C,9.7,C,official_open_data,official_open_data,official_open_data
2025-07-07,25.42,C,78.0,C,10.5,C,official_open_data,official_open_data,official_open_data
2025-07-08,19.41,C,78.0,C,8.0,C,official_open_data,official_open_data,official_open_data
2025-07-09,19.04,C,79.0,C,7.7,C,official_open_data,official_open_data,official_open_data
2025-07-10,1.65,C,95.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-07-11,13.26,C,85.0,C,1.2,C,official_open_data,official_open_data,official_open_data
2025-07-12,12.85,C,86.0,#,2.1,C,official_open_data,official_open_data,official_open_data
2025-07-13,19.89,C,82.0,C,7.7,C,official_open_data,official_open_data,official_open_data
2025-07-14,23.29,C,80.0,C,8.6,C,official_open_data,official_open_data,official_open_data
2025-07-15,14.64,C,82.0,C,4.0,C,official_open_data,official_open_data,official_open_data
2025-07-16,26.84,C,78.0,C,10.9,C,official_open_data,official_open_data,official_open_data
2025-07-17,26.05,C,79.0,C,11.4,C,official_open_data,official_open_data,official_open_data
2025-07-18,6.38,C,86.0,C,1.8,C,official_open_data,official_open_data,official_open_data
2025-07-19,17.46,C,77.0,C,5.8,C,official_open_data,official_open_data,official_open_data
2025-07-20,2.57,C,92.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-07-21,4.79,C,93.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-07-22,13.17,C,90.0,C,1.5,C,official_open_data,official_open_data,official_open_data
2025-07-23,21.15,C,82.0,C,6.1,C,official_open_data,official_open_data,official_open_data
2025-07-24,16.26,C,77.0,C,6.5,C,official_open_data,official_open_data,official_open_data
2025-07-25,21.4,C,79.0,C,9.3,C,official_open_data,official_open_data,official_open_data
2025-07-26,26.4,C,76.0,C,11.7,C,official_open_data,official_open_data,official_open_data
2025-07-27,26.03,C,78.0,C,11.0,C,official_open_data,official_open_data,official_open_data
2025-07-28,18.99,C,81.0,C,7.2,C,official_open_data,official_open_data,official_open_data
2025-07-29,3.91,C,92.0,C,1.0,C,official_open_data,official_open_data,official_open_data
2025-07-30,17.04,C,86.0,C,4.4,C,official_open_data,official_open_data,official_open_data
2025-07-31,15.84,C,85.0,C,4.0,C,official_open_data,official_open_data,official_open_data
2025-08-01,21.0,C,82.0,C,7.4,C,official_open_data,official_open_data,official_open_data
2025-08-02,1.45,C,93.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-08-03,4.99,C,90.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-08-04,1.3,C,93.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-08-05,1.45,C,94.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-08-06,5.29,C,87.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-08-07,21.58,C,81.0,C,8.5,C,official_open_data,official_open_data,official_open_data
2025-08-08,26.27,C,81.0,C,11.0,C,official_open_data,official_open_data,official_open_data
2025-08-09,21.07,C,80.0,C,9.6,C,official_open_data,official_open_data,official_open_data
2025-08-10,24.04,C,78.0,C,9.9,C,official_open_data,official_open_data,official_open_data
2025-08-11,17.45,C,80.0,C,6.3,C,official_open_data,official_open_data,official_open_data
2025-08-12,24.1,C,79.0,C,9.2,C,official_open_data,official_open_data,official_open_data
2025-08-13,26.47,C,78.0,C,11.1,C,official_open_data,official_open_data,official_open_data
2025-08-14,1.1,C,94.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-08-15,11.78,C,86.0,C,3.2,C,official_open_data,official_open_data,official_open_data
2025-08-16,25.9,C,76.0,C,9.9,C,official_open_data,official_open_data,official_open_data
2025-08-17,10.11,C,86.0,C,1.6,C,official_open_data,official_open_data,official_open_data
2025-08-18,6.79,C,93.0,C,0.2,C,official_open_data,official_open_data,official_open_data
2025-08-19,2.04,C,94.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-08-20,18.35,C,83.0,C,5.2,C,official_open_data,official_open_data,official_open_data
2025-08-21,16.75,C,81.0,C,5.9,C,official_open_data,official_open_data,official_open_data
2025-08-22,24.26,C,73.0,C,10.9,C,official_open_data,official_open_data,official_open_data
2025-08-23,23.69,C,73.0,C,10.1,C,official_open_data,official_open_data,official_open_data
