month,load_kwh,pv_generation_kwh,grid_import_kwh,grid_export_kwh,peak_grid_import_kw,battery_charge_kwh,battery_discharge_kwh,scenario,configuration
4,917377.6300449923,267856.357186367,654994.5769624824,0.0,1563.9331513088002,56136.452347252256,50663.14824339515,optimistic,roof_plus_flexileaf_battery
5,1084015.046733087,261639.6179781135,828089.8949896125,0.0,1935.4494004770422,58609.91009886171,52895.44386422268,optimistic,roof_plus_flexileaf_battery
6,1119480.7012048315,270276.91539327893,854704.0932695289,0.0,2204.8350876782974,56413.409825398456,50913.1023674221,optimistic,roof_plus_flexileaf_battery
7,1203556.8849307133,287287.6519454068,922127.3293441335,0.0,2445.1207569242156,60083.03957771236,54224.9432188854,optimistic,roof_plus_flexileaf_battery
8,1192308.842857548,256712.68461574533,941436.053592537,0.0,2571.376878299002,59896.36257163253,54056.46722089836,optimistic,roof_plus_flexileaf_battery
9,1131024.7553792365,286347.34981865453,850390.5560004446,0.0,2308.800756011659,58596.41476782058,52883.2643279581,optimistic,roof_plus_flexileaf_battery
10,1072236.2024273165,293849.6100041924,784154.475077058,0.0,1963.5869310718756,59157.77080957808,53389.888155644214,optimistic,roof_plus_flexileaf_battery
11,886361.3795349033,267621.09034258913,624149.8834445704,0.0,1661.289191519588,55483.01797185851,50073.423719602295,optimistic,roof_plus_flexileaf_battery
12,817155.0009252294,259273.07406438186,562982.5589612802,0.0,1203.1628708200492,52314.175389053504,47213.5432886208,optimistic,roof_plus_flexileaf_battery
1,802030.8758444915,322581.41579276655,485565.9970621495,121.74493193057964,1074.947028055687,61485.04695891218,55490.25488041822,optimistic,full_microgrid_v2g
2,719405.6264897069,229193.51193292974,495459.1508434235,-2.4366499928873964e-09,1092.885260407604,53815.756786141596,48568.720499492694,optimistic,full_microgrid_v2g
3,829047.0536279435,261542.46015430667,573628.9978405389,0.0,1233.268867033736,62814.40376309731,56689.9993961953,optimistic,full_microgrid_v2g
4,917377.6300449923,267856.357186367,656281.4802843855,0.0,1442.0882999201133,69335.46077703107,62575.253351270854,optimistic,full_microgrid_v2g
5,1084015.046733087,261639.6179781135,830314.5219480392,0.0,1804.6782586784982,81426.5968519551,73487.50365888944,optimistic,full_microgrid_v2g
6,1119480.7012048315,270276.91539327893,856923.7243244278,0.0,2065.501754344964,79178.85654231036,71458.9180294351,optimistic,full_microgrid_v2g
7,1203556.8849307133,287287.6519454068,924474.6790479462,0.0,2306.0464101544685,84158.4211552784,75952.97509263874,optimistic,full_microgrid_v2g
8,1192308.842857548,256712.68461574533,943677.7041794361,0.0,2426.7967512900836,82887.6506423927,74806.10470475939,optimistic,full_microgrid_v2g
9,1131024.7553792365,286347.34981865453,852642.5777185806,0.0,2173.5794307656142,81694.07341536859,73728.90125737015,optimistic,full_microgrid_v2g
10,1072236.2024273165,293849.6100041924,786244.4384887909,0.0,1823.527351413913,80593.29298119736,72735.4469155306,optimistic,full_microgrid_v2g
11,886361.3795349033,267621.09034258913,625618.2447591295,0.0,1521.9558581862548,70543.13401861802,63665.178451802734,optimistic,full_microgrid_v2g
12,817155.0009252294,259273.07406438186,563830.0974300195,0.0,1155.631099950517,61006.8776325331,55058.70706336111,optimistic,full_microgrid_v2g
